code,date,close,stage,success,max_return,max_date
sz.300976,2025-09-05,63.08,🚀 启动期（重点）,True,18.579581483830058,2025-09-29
sz.002667,2025-05-15,13.32,🚀 启动期（重点）,True,12.087087087087083,2025-05-20
sz.002667,2025-12-25,13.59,🚀 启动期（重点）,True,42.457689477557025,2026-01-26
sz.000070,2025-07-01,8.13,🚀 启动期（重点）,False,1.1070110701106992,2025-07-02
sz.000070,2025-12-25,12.48,🚀 启动期（重点）,True,6.570512820512822,2026-01-12
sz.000716,2025-04-15,6.76777926,🚀 启动期（重点）,True,10.997067448680346,2025-04-17
sz.002101,2025-04-15,11.21503,🚀 启动期（重点）,True,15.304347826086953,2025-05-08
sz.002101,2025-04-25,11.7123922,🚀 启动期（重点）,True,10.407993338884266,2025-05-08
sz.002115,2025-04-15,7.42,🚀 启动期（重点）,True,11.455525606469,2025-05-12
sz.002115,2025-10-10,11.05,🚀 启动期（重点）,True,17.466063348416284,2025-10-22
sz.002115,2025-10-20,11.96,🚀 启动期（重点）,True,8.52842809364548,2025-10-22
sz.000702,2025-04-10,6.89,🚀 启动期（重点）,False,1.1611030478955018,2025-04-14
sz.000702,2025-06-20,7.21,🚀 启动期（重点）,True,17.61442441054092,2025-07-11
sz.300962,2025-04-15,14.23620244,🚀 启动期（重点）,True,20.75208913649026,2025-05-09
sz.300962,2025-07-01,17.67,🚀 启动期（重点）,False,1.8675721561969343,2025-07-09
sz.300792,2025-06-10,24.96,🚀 启动期（重点）,True,8.493589743589732,2025-06-12
sz.300792,2025-10-20,33.31,🚀 启动期（重点）,False,1.0507355148603852,2025-10-21
sh.600292,2025-05-20,13.09,🚀 启动期（重点）,False,0.2291825821237537,2025-05-21
sz.002897,2025-09-15,45.01,🚀 启动期（重点）,True,18.529215729837823,2025-09-19
sz.300786,2025-10-10,19.04,🚀 启动期（重点）,True,16.281512605042025,2025-10-13
sz.000058,2025-10-15,10.9,🚀 启动期（重点）,True,12.84403669724771,2025-10-24
sh.605507,2025-08-05,23.71,🚀 启动期（重点）,False,0.6326444538169489,2025-08-27
